seed,scheduler,erledigt,generiert,completion_pct,prio_completion_pct,sla_vlz,fahrzeit_min,auslastung_pct,notfall_erledigt,notfall_gesamt,rollover_max,laufzeit_sec
0,heuristik,182,284,64.1,74.7,30,6248,60.4,27,28,5,0.0
0,ortools-naiv,218,284,76.8,79.5,12,4876,70.8,26,28,5,27.1
0,ortools-normal,215,284,75.7,78.5,9,4776,70.9,23,28,5,27.0
0,hybrid,211,284,74.3,75.3,18,4373,71.1,21,28,5,128.6
1,heuristik,180,284,63.4,73.0,25,6109,57.3,20,23,5,0.0
1,ortools-naiv,206,284,72.5,77.1,16,4499,68.0,20,23,5,30.0
1,ortools-normal,208,284,73.2,75.7,20,4661,66.1,18,23,5,30.0
1,hybrid,207,284,72.9,75.1,19,4556,66.6,19,23,5,123.6
2,heuristik,187,284,65.8,73.9,19,6181,59.6,24,27,5,0.0
2,ortools-naiv,210,284,73.9,78.4,14,4472,67.1,25,27,5,36.1
2,ortools-normal,203,284,71.5,75.1,15,4343,65.3,23,27,5,36.1
2,hybrid,200,284,70.4,73.9,18,4350,65.7,24,27,5,151.0
3,heuristik,182,284,64.1,73.5,19,6067,62.4,20,21,5,0.0
3,ortools-naiv,204,284,71.8,76.9,15,4414,69.2,17,21,5,36.1
3,ortools-normal,206,284,72.5,76.5,18,4492,69.7,18,21,5,33.1
3,hybrid,218,284,76.8,80.6,13,4968,71.9,19,21,5,139.4
4,heuristik,184,284,64.8,74.9,22,6211,60.6,21,23,5,0.0
4,ortools-naiv,207,284,72.9,77.6,9,4635,72.0,20,23,5,30.1
4,ortools-normal,213,284,75.0,81.9,10,4620,72.4,23,23,5,30.0
4,hybrid,212,284,74.6,79.6,8,4738,71.0,20,23,5,133.4
5,heuristik,191,284,67.3,76.1,19,6462,59.3,23,26,5,0.0
5,ortools-naiv,220,284,77.5,80.4,15,4842,68.8,22,26,5,33.1
5,ortools-normal,216,284,76.1,78.1,16,4559,67.5,19,26,5,30.0
5,hybrid,207,284,72.9,74.9,20,4396,65.6,19,26,5,129.7
