seed,scheduler,erledigt,generiert,completion_pct,prio_completion_pct,sla_vlz,fahrzeit_min,auslastung_pct,notfall_erledigt,notfall_gesamt,rollover_max,laufzeit_sec
0,heuristik,182,284,64.1,74.7,30,6248,60.4,27,28,5,0.0
0,ortools-naiv,217,284,76.4,79.5,12,4866,70.8,26,28,5,27.0
0,ortools-normal,215,284,75.7,78.5,9,4776,70.9,23,28,5,27.0
0,hybrid,218,284,76.8,79.3,14,4787,71.2,25,28,5,117.4
1,heuristik,180,284,63.4,73.0,25,6109,57.3,20,23,5,0.0
1,ortools-naiv,203,284,71.5,75.0,19,4540,66.6,20,23,5,30.1
1,ortools-normal,208,284,73.2,75.7,20,4661,66.1,18,23,5,30.0
1,hybrid,206,284,72.5,75.5,20,4607,66.9,18,23,5,144.5
2,heuristik,187,284,65.8,73.9,19,6181,59.6,24,27,5,0.0
2,ortools-naiv,210,284,73.9,78.4,14,4472,67.1,25,27,5,36.1
2,ortools-normal,203,284,71.5,75.1,15,4345,65.3,23,27,5,36.1
2,hybrid,202,284,71.1,74.3,15,4327,65.3,25,27,5,163.8
3,heuristik,182,284,64.1,73.5,19,6067,62.4,20,21,5,0.0
3,ortools-naiv,204,284,71.8,76.9,15,4414,69.2,17,21,5,36.1
3,ortools-normal,206,284,72.5,76.5,18,4492,69.7,18,21,5,33.1
3,hybrid,218,284,76.8,80.6,13,5042,71.9,19,21,5,144.5
4,heuristik,184,284,64.8,74.9,22,6211,60.6,21,23,5,0.0
4,ortools-naiv,207,284,72.9,77.6,9,4635,72.0,20,23,5,30.1
4,ortools-normal,213,284,75.0,81.9,10,4620,72.4,23,23,5,30.0
4,hybrid,208,284,73.2,77.4,10,4594,72.2,20,23,5,126.7
5,heuristik,191,284,67.3,76.1,19,6462,59.3,23,26,5,0.0
5,ortools-naiv,220,284,77.5,80.4,15,4842,68.8,22,26,5,33.1
5,ortools-normal,216,284,76.1,78.1,16,4559,67.5,19,26,5,30.0
5,hybrid,209,284,73.6,76.3,21,4347,65.9,19,26,5,128.7
6,heuristik,190,284,66.9,77.4,16,6157,59.6,19,19,5,0.0
6,ortools-naiv,215,284,75.7,80.6,11,4489,68.2,17,19,5,33.1
6,ortools-normal,218,284,76.8,80.9,13,4607,67.4,18,19,5,33.1
6,hybrid,217,284,76.4,79.8,12,4475,68.1,17,19,5,156.2
7,heuristik,179,284,63.0,74.5,33,6117,61.1,17,18,5,0.0
7,ortools-naiv,218,284,76.8,82.0,10,4994,71.2,17,18,5,33.1
7,ortools-normal,221,284,77.8,83.0,14,5052,70.4,17,18,5,36.1
7,hybrid,221,284,77.8,82.4,14,5051,70.4,17,18,5,136.1
8,heuristik,182,284,64.1,73.9,23,6242,61.0,24,31,5,0.0
8,ortools-naiv,209,284,73.6,76.7,14,4371,68.6,26,31,5,33.1
8,ortools-normal,208,284,73.2,76.5,14,4534,68.5,25,31,5,30.1
8,hybrid,211,284,74.3,77.7,13,4583,68.6,27,31,5,119.7
9,heuristik,186,284,65.5,74.8,26,6237,60.4,11,14,5,0.0
9,ortools-naiv,200,284,70.4,72.8,14,4350,65.6,10,14,5,39.1
9,ortools-normal,209,284,73.6,76.5,14,4444,68.9,9,14,5,36.1
9,hybrid,206,284,72.5,75.7,12,4425,68.1,10,14,5,154.2
