seed,scheduler,erledigt,generiert,completion_pct,prio_completion_pct,sla_vlz,fahrzeit_min,auslastung_pct,notfall_erledigt,notfall_gesamt,rollover_max,laufzeit_sec
0,heuristik,152,284,53.5,64.8,38,5302,59.1,25,28,5,0.0
0,ortools-normal,200,284,70.4,72.6,25,4610,73.2,25,28,5,15.0
0,ortools-chaos-safe,195,284,68.7,71.1,23,4662,71.8,23,28,5,15.0
0,ortools-sla-boost,196,284,69.0,71.5,23,4498,72.4,23,28,5,15.0
0,hybrid,196,284,69.0,71.3,21,4600,73.2,24,28,5,52.7
1,heuristik,160,284,56.3,65.6,36,5334,60.0,21,23,5,0.0
1,ortools-normal,198,284,69.7,73.4,24,4757,69.5,22,23,5,15.0
1,ortools-chaos-safe,193,284,68.0,71.5,24,4748,67.7,21,23,5,15.0
1,ortools-sla-boost,196,284,69.0,73.0,21,4768,68.4,21,23,5,15.0
1,hybrid,193,284,68.0,70.7,23,4940,68.4,21,23,5,56.3
2,heuristik,162,284,57.0,64.8,29,5658,58.9,21,27,5,0.0
2,ortools-normal,198,284,69.7,73.8,16,4840,70.4,25,27,5,15.0
2,ortools-chaos-safe,194,284,68.3,72.8,19,4826,69.6,24,27,5,15.0
2,ortools-sla-boost,192,284,67.6,72.4,17,4710,70.2,25,27,5,15.0
2,hybrid,196,284,69.0,73.0,17,4878,69.9,24,27,5,54.5
3,heuristik,157,284,55.3,66.1,27,5423,61.0,17,21,5,0.0
3,ortools-normal,188,284,66.2,72.9,18,4484,71.4,18,21,5,15.0
3,ortools-chaos-safe,191,284,67.3,73.5,15,4715,72.6,16,21,5,15.0
3,ortools-sla-boost,194,284,68.3,75.1,16,4536,73.1,18,21,5,15.0
3,hybrid,194,284,68.3,73.1,18,4635,72.9,16,21,5,56.3
4,heuristik,158,284,55.6,66.4,27,5898,59.2,20,23,5,0.0
4,ortools-normal,190,284,66.9,74.3,14,4849,71.2,21,23,5,15.0
4,ortools-chaos-safe,190,284,66.9,74.7,14,4878,72.1,21,23,5,15.0
4,ortools-sla-boost,188,284,66.2,73.7,12,4673,71.7,21,23,5,15.0
4,hybrid,190,284,66.9,74.1,14,4775,71.8,22,23,5,53.5
5,heuristik,169,284,59.5,69.4,24,5898,60.2,23,26,5,0.0
5,ortools-normal,203,284,71.5,77.3,17,4663,71.4,23,26,5,15.0
5,ortools-chaos-safe,203,284,71.5,77.1,16,4705,70.8,23,26,5,15.0
5,ortools-sla-boost,197,284,69.4,74.7,16,4749,69.3,20,26,5,15.0
5,hybrid,198,284,69.7,75.7,16,4667,70.2,23,26,5,53.0
6,heuristik,161,284,56.7,67.4,24,5601,57.8,19,19,5,0.0
6,ortools-normal,196,284,69.0,74.1,16,4721,68.9,16,19,5,15.0
6,ortools-chaos-safe,196,284,69.0,74.5,17,4737,68.2,17,19,5,15.0
6,ortools-sla-boost,198,284,69.7,74.9,15,4789,68.2,18,19,5,15.0
6,hybrid,193,284,68.0,73.1,17,4746,68.6,18,19,5,52.8
7,heuristik,162,284,57.0,68.9,42,5910,62.8,15,18,5,0.0
7,ortools-normal,201,284,70.8,75.6,18,4925,71.4,13,18,5,15.0
7,ortools-chaos-safe,204,284,71.8,77.0,17,4930,72.2,14,18,5,15.0
7,ortools-sla-boost,201,284,70.8,76.2,18,4763,71.6,14,18,5,15.0
7,hybrid,204,284,71.8,76.4,19,4799,71.7,14,18,5,54.2
8,heuristik,149,284,52.5,64.2,35,5658,56.9,24,31,5,0.0
8,ortools-normal,198,284,69.7,73.7,19,4707,70.9,26,31,5,15.0
8,ortools-chaos-safe,198,284,69.7,73.9,19,4703,70.6,27,31,5,15.0
8,ortools-sla-boost,198,284,69.7,73.7,20,4768,70.7,27,31,5,15.0
8,hybrid,196,284,69.0,73.2,17,4773,71.5,28,31,5,55.0
9,heuristik,154,284,54.2,64.9,32,5713,57.8,12,14,5,0.0
9,ortools-normal,194,284,68.3,73.2,15,4923,70.0,11,14,5,15.0
9,ortools-chaos-safe,190,284,66.9,71.3,18,4706,70.0,11,14,5,15.0
9,ortools-sla-boost,196,284,69.0,73.8,14,4799,70.9,11,14,5,15.0
9,hybrid,190,284,66.9,70.7,17,4683,70.9,10,14,5,51.2
10,heuristik,152,284,53.5,64.9,32,5285,60.7,19,20,5,0.0
10,ortools-normal,189,284,66.5,73.0,21,4327,72.2,18,20,5,15.0
10,ortools-chaos-safe,188,284,66.2,72.4,18,4360,71.9,18,20,5,15.0
10,ortools-sla-boost,189,284,66.5,73.2,19,4373,72.4,18,20,5,15.0
10,hybrid,183,284,64.4,69.9,19,4483,70.2,17,20,5,53.1
11,heuristik,170,284,59.9,69.9,29,5914,62.1,15,18,5,0.0
11,ortools-normal,197,284,69.4,75.6,18,4631,71.8,15,18,5,15.0
11,ortools-chaos-safe,194,284,68.3,73.6,19,4463,71.0,14,18,5,15.0
11,ortools-sla-boost,197,284,69.4,75.0,18,4536,72.3,14,18,5,15.0
11,hybrid,194,284,68.3,73.4,19,4552,71.6,14,18,5,57.4
12,heuristik,150,284,52.8,63.8,35,5664,57.9,15,16,5,0.0
12,ortools-normal,189,284,66.5,71.3,20,4509,70.4,14,16,5,15.0
12,ortools-chaos-safe,184,284,64.8,69.0,20,4632,70.1,13,16,5,15.0
12,ortools-sla-boost,190,284,66.9,70.9,20,4572,71.3,15,16,5,15.0
12,hybrid,187,284,65.8,69.6,20,4586,70.6,14,16,5,54.2
13,heuristik,169,284,59.5,69.6,32,5781,61.9,19,21,5,0.0
13,ortools-normal,199,284,70.1,75.4,19,4262,71.4,17,21,5,15.0
13,ortools-chaos-safe,200,284,70.4,75.4,17,4219,69.9,17,21,5,15.0
13,ortools-sla-boost,199,284,70.1,75.4,19,4262,71.4,17,21,5,15.0
13,hybrid,200,284,70.4,74.8,18,4221,71.4,16,21,5,58.4
14,heuristik,146,284,51.4,63.5,29,5854,56.0,25,27,5,0.0
14,ortools-normal,195,284,68.7,74.3,22,4594,70.1,24,27,5,15.0
14,ortools-chaos-safe,192,284,67.6,73.9,21,4560,69.6,24,27,5,15.0
14,ortools-sla-boost,196,284,69.0,74.9,20,4633,71.7,25,27,5,15.0
14,hybrid,188,284,66.2,73.1,17,4658,71.1,24,27,5,57.6
15,heuristik,155,284,54.6,65.0,37,5837,56.9,20,21,5,0.0
15,ortools-normal,197,284,69.4,74.0,15,4724,68.4,20,21,5,15.0
15,ortools-chaos-safe,198,284,69.7,74.2,13,4759,68.9,18,21,5,15.0
15,ortools-sla-boost,190,284,66.9,72.8,14,4740,67.6,18,21,5,15.0
15,hybrid,196,284,69.0,74.4,12,4665,69.5,18,21,5,63.4
16,heuristik,144,284,50.7,62.0,38,5586,56.8,14,14,5,0.0
16,ortools-normal,190,284,66.9,71.9,21,4563,70.5,13,14,5,15.0
16,ortools-chaos-safe,190,284,66.9,71.1,21,4519,71.6,13,14,5,15.0
16,ortools-sla-boost,190,284,66.9,71.5,22,4663,69.6,12,14,5,15.1
16,hybrid,186,284,65.5,70.1,22,4480,69.8,11,14,5,58.4
17,heuristik,154,284,54.2,66.5,35,5588,58.4,22,25,5,0.0
17,ortools-normal,195,284,68.7,74.6,26,4769,69.7,22,25,5,15.1
17,ortools-chaos-safe,189,284,66.5,73.2,25,4737,69.8,22,25,5,15.1
