seed,scheduler,erledigt,generiert,completion_pct,prio_completion_pct,sla_vlz,fahrzeit_min,auslastung_pct,notfall_erledigt,notfall_gesamt,rollover_max,laufzeit_sec
0,heuristik,181,284,63.7,73.5,24,6152,57.8,19,19,4,0.0
0,ortools-naiv,206,284,72.5,76.3,24,4387,67.1,17,19,5,30.1
0,ortools-normal,213,284,75.0,78.1,24,4424,69.0,17,19,5,30.0
0,hybrid,210,284,73.9,75.9,21,4479,67.6,17,19,5,111.6
1,heuristik,171,284,60.2,72.4,18,5886,57.3,20,24,5,0.0
1,ortools-naiv,208,284,73.2,79.5,11,4437,68.4,22,24,5,33.1
1,ortools-normal,208,284,73.2,78.7,10,4619,66.9,18,24,5,30.1
1,hybrid,210,284,73.9,80.4,8,4629,68.3,22,24,5,152.6
2,heuristik,184,284,64.8,75.0,28,6006,62.0,18,21,5,0.0
2,ortools-naiv,210,284,73.9,79.5,11,4685,68.6,20,21,5,39.1
2,ortools-normal,204,284,71.8,76.6,15,4475,67.3,17,21,5,39.1
2,hybrid,210,284,73.9,78.9,11,4695,69.1,20,21,5,152.0
3,heuristik,178,284,62.7,72.7,22,6345,56.2,23,26,5,0.0
3,ortools-naiv,207,284,72.9,76.4,15,4648,66.3,22,26,5,33.1
3,ortools-normal,222,284,78.2,83.2,10,5095,69.9,24,26,5,33.1
3,hybrid,222,284,78.2,82.2,9,5305,70.6,24,26,5,141.5
4,heuristik,189,284,66.5,76.9,21,5890,60.9,23,25,5,0.0
4,ortools-naiv,210,284,73.9,77.6,12,4361,69.3,20,25,5,30.0
4,ortools-normal,213,284,75.0,79.2,13,4338,70.8,21,25,5,30.0
4,hybrid,212,284,74.6,79.0,15,4463,68.7,21,25,5,126.6
5,heuristik,189,284,66.5,75.9,17,6453,58.2,20,22,5,0.0
5,ortools-naiv,211,284,74.3,78.8,16,4525,66.2,20,22,5,30.0
5,ortools-normal,212,284,74.6,76.9,20,4513,65.1,17,22,5,30.0
5,hybrid,218,284,76.8,80.2,16,4613,67.9,20,22,5,141.5
6,heuristik,187,284,65.8,74.5,21,6697,59.8,23,26,5,0.0
6,ortools-naiv,212,284,74.6,78.6,22,4703,68.0,22,26,5,33.1
6,ortools-normal,213,284,75.0,78.4,21,4646,67.8,24,26,5,36.1
6,hybrid,208,284,73.2,77.4,22,4735,68.3,22,26,5,136.0
7,heuristik,198,284,69.7,78.2,19,6388,62.6,20,21,5,0.0
7,ortools-naiv,222,284,78.2,81.6,7,5134,69.6,21,21,4,30.0
7,ortools-normal,223,284,78.5,83.1,6,5225,69.9,20,21,5,30.0
7,hybrid,223,284,78.5,81.1,10,5402,70.4,21,21,4,123.3
8,heuristik,183,284,64.4,74.6,24,6809,58.4,24,25,5,0.0
8,ortools-naiv,206,284,72.5,77.1,12,4848,65.2,23,25,5,33.1
8,ortools-normal,201,284,70.8,76.5,14,4976,64.1,24,25,5,33.1
8,hybrid,199,284,70.1,73.7,20,4913,63.7,22,25,5,156.4
9,heuristik,172,284,60.6,73.3,25,5789,58.9,28,32,5,0.0
9,ortools-naiv,196,284,69.0,73.4,20,4451,65.6,25,32,5,39.1
9,ortools-normal,203,284,71.5,76.0,19,4559,65.6,23,32,5,36.1
9,hybrid,204,284,71.8,76.7,18,4653,67.5,27,32,5,151.2
