seed,scheduler,erledigt,generiert,completion_pct,prio_completion_pct,sla_vlz,fahrzeit_min,auslastung_pct,notfall_erledigt,notfall_gesamt,rollover_max,laufzeit_sec
0,heuristik,181,284,63.7,73.5,24,6152,57.8,19,19,4,0.0
0,ortools-naiv,206,284,72.5,76.3,24,4387,67.1,17,19,5,30.1
0,ortools-normal,213,284,75.0,78.1,24,4424,69.0,17,19,5,30.0
0,hybrid,212,284,74.6,77.3,21,4451,68.3,17,19,5,109.1
1,heuristik,171,284,60.2,72.4,18,5886,57.3,20,24,5,0.0
1,ortools-naiv,208,284,73.2,79.5,11,4437,68.4,22,24,5,33.1
1,ortools-normal,210,284,73.9,79.3,10,4607,67.7,19,24,5,30.0
1,hybrid,208,284,73.2,78.5,13,4591,68.2,20,24,5,136.3
2,heuristik,184,284,64.8,75.0,28,6006,62.0,18,21,5,0.0
2,ortools-naiv,210,284,73.9,79.5,11,4685,68.6,20,21,5,39.1
2,ortools-normal,204,284,71.8,76.6,15,4475,67.3,17,21,5,39.1
2,hybrid,204,284,71.8,76.0,14,4747,66.9,18,21,5,157.8
3,heuristik,178,284,62.7,72.7,22,6345,56.2,23,26,5,0.0
3,ortools-naiv,207,284,72.9,76.4,15,4648,66.3,22,26,5,33.1
3,ortools-normal,222,284,78.2,83.2,10,5095,69.9,24,26,5,33.1
3,hybrid,210,284,73.9,77.4,14,4826,66.4,20,26,5,142.4
4,heuristik,189,284,66.5,76.9,21,5890,60.9,23,25,5,0.0
4,ortools-naiv,210,284,73.9,77.6,12,4361,69.3,20,25,5,30.0
4,ortools-normal,209,284,73.6,77.5,14,4486,67.8,21,25,5,30.0
4,hybrid,213,284,75.0,78.8,14,4494,68.9,22,25,5,120.4
5,heuristik,189,284,66.5,75.9,17,6453,58.2,20,22,5,0.0
5,ortools-naiv,212,284,74.6,78.1,18,4473,66.9,18,22,5,30.0
5,ortools-normal,212,284,74.6,76.9,20,4513,65.1,17,22,5,30.0
5,hybrid,219,284,77.1,80.6,15,4611,69.4,21,22,5,135.8
6,heuristik,187,284,65.8,74.5,21,6697,59.8,23,26,5,0.0
6,ortools-naiv,213,284,75.0,79.2,20,4774,68.6,22,26,5,33.1
6,ortools-normal,213,284,75.0,78.4,21,4646,67.8,24,26,5,36.1
6,hybrid,210,284,73.9,78.2,22,4695,68.9,22,26,5,140.5
7,heuristik,198,284,69.7,78.2,19,6388,62.6,20,21,5,0.0
7,ortools-naiv,222,284,78.2,81.6,7,5134,69.6,21,21,4,30.1
7,ortools-normal,223,284,78.5,83.1,6,5225,69.9,20,21,5,30.1
7,hybrid,223,284,78.5,82.2,7,5081,70.1,21,21,4,125.1
8,heuristik,183,284,64.4,74.6,24,6809,58.4,24,25,5,0.0
8,ortools-naiv,206,284,72.5,77.1,12,4848,65.2,23,25,5,33.1
8,ortools-normal,201,284,70.8,76.5,14,4967,64.1,24,25,5,33.1
8,hybrid,199,284,70.1,73.7,20,4899,63.7,22,25,5,148.3
9,heuristik,172,284,60.6,73.3,25,5789,58.9,28,32,5,0.0
9,ortools-naiv,196,284,69.0,73.4,20,4451,65.6,25,32,5,39.1
9,ortools-normal,203,284,71.5,76.0,19,4559,65.6,23,32,5,36.1
9,hybrid,204,284,71.8,76.9,15,4652,67.4,27,32,5,155.5
10,heuristik,206,284,72.5,80.7,17,6207,60.8,14,15,5,0.0
10,ortools-naiv,226,284,79.6,82.8,14,4680,68.1,13,15,5,33.1
10,ortools-normal,221,284,77.8,82.2,12,4666,67.2,13,15,5,30.0
10,hybrid,224,284,78.9,82.8,11,4679,68.2,13,15,5,136.8
11,heuristik,173,284,60.9,70.1,24,6060,59.1,19,22,5,0.0
11,ortools-naiv,201,284,70.8,75.3,16,4817,67.9,18,22,5,27.0
11,ortools-normal,201,284,70.8,75.7,20,4618,66.9,17,22,5,27.0
11,hybrid,204,284,71.8,75.3,17,4769,65.5,18,22,5,107.1
12,heuristik,187,284,65.8,75.0,23,6845,57.4,19,23,5,0.0
12,ortools-naiv,229,284,80.6,84.7,11,5343,69.9,22,23,5,24.0
12,ortools-normal,220,284,77.5,81.2,13,5194,69.1,19,23,5,24.0
12,hybrid,224,284,78.9,82.0,13,5064,69.1,21,23,5,101.3
13,heuristik,177,284,62.3,72.7,22,6128,59.8,17,21,5,0.0
13,ortools-naiv,201,284,70.8,75.6,22,4571,66.0,18,21,5,39.1
13,ortools-normal,199,284,70.1,74.9,19,4471,66.4,17,21,5,42.1
13,hybrid,199,284,70.1,74.1,23,4415,65.5,17,21,5,164.5
14,heuristik,182,284,64.1,73.6,23,5934,57.4,27,30,5,0.0
14,ortools-naiv,195,284,68.7,72.9,21,4242,64.8,24,30,5,30.1
14,ortools-normal,214,284,75.4,78.7,14,4547,68.1,25,30,5,30.1
14,hybrid,195,284,68.7,72.3,24,4166,64.2,25,30,5,141.0
15,heuristik,187,284,65.8,75.7,23,6137,59.8,24,26,5,0.1
15,ortools-naiv,213,284,75.0,80.5,17,4889,68.8,22,26,5,54.1
15,ortools-normal,200,284,70.4,76.3,26,4346,64.8,22,26,5,54.1
15,hybrid,205,284,72.2,77.0,24,4325,67.2,22,26,5,238.8
16,heuristik,167,284,58.8,68.3,32,5912,56.2,16,21,5,0.0
16,ortools-naiv,199,284,70.1,74.2,18,4744,67.9,16,21,5,45.1
16,ortools-normal,197,284,69.4,74.0,22,4465,66.7,16,21,5,45.1
16,hybrid,197,284,69.4,73.3,18,4514,66.9,15,21,5,176.7
17,heuristik,181,284,63.7,72.4,31,6220,61.4,21,23,5,0.0
17,ortools-naiv,197,284,69.4,72.7,29,4256,65.9,16,23,5,42.1
17,ortools-normal,214,284,75.4,79.8,22,4913,69.9,20,23,5,39.1
17,hybrid,214,284,75.4,79.2,21,5096,69.6,21,23,5,176.4
18,heuristik,173,284,60.9,70.6,34,5803,57.8,18,21,5,0.0
18,ortools-naiv,214,284,75.4,79.9,12,5070,69.6,20,21,5,39.1
18,ortools-normal,216,284,76.1,79.5,15,5120,69.2,19,21,5,39.1
18,hybrid,220,284,77.5,81.7,13,5273,72.1,20,21,5,152.6
19,heuristik,184,284,64.8,75.7,25,6633,56.2,17,19,5,0.0
19,ortools-naiv,221,284,77.8,80.8,15,5081,66.7,17,19,5,30.0
19,ortools-normal,215,284,75.7,77.6,21,4552,65.7,14,19,5,30.0
19,hybrid,212,284,74.6,76.8,16,4750,65.4,15,19,5,126.8
20,heuristik,177,284,62.3,72.7,32,6387,59.3,14,17,5,0.0
20,ortools-naiv,204,284,71.8,76.6,22,4420,67.2,14,17,5,33.1
20,ortools-normal,210,284,73.9,78.8,20,4704,70.0,16,17,5,36.1
20,hybrid,209,284,73.6,77.8,18,4487,68.8,16,17,5,141.3
21,heuristik,173,284,60.9,72.9,28,6129,55.5,24,26,5,0.0
21,ortools-naiv,191,284,67.3,72.1,28,4478,62.1,21,26,5,54.1
21,ortools-normal,196,284,69.0,74.3,30,4433,62.3,21,26,5,54.1
21,hybrid,191,284,67.3,70.9,28,4613,61.2,21,26,5,238.6
22,heuristik,178,284,62.7,72.2,13,6326,59.5,24,25,5,0.0
22,ortools-naiv,206,284,72.5,76.0,16,4398,69.8,22,25,5,36.1
22,ortools-normal,206,284,72.5,75.6,13,4490,70.9,23,25,5,33.1
22,hybrid,204,284,71.8,74.8,15,4593,70.0,22,25,5,138.3
23,heuristik,174,284,61.3,73.7,17,6136,55.6,24,26,5,0.0
23,ortools-naiv,223,284,78.5,83.2,10,5044,70.1,23,26,5,27.0
23,ortools-normal,224,284,78.9,84.6,9,4921,71.2,24,26,5,27.0
23,hybrid,222,284,78.2,82.8,10,4972,70.2,22,26,5,114.9
24,heuristik,175,284,61.6,70.1,24,5774,56.6,17,20,5,0.0
24,ortools-naiv,210,284,73.9,77.6,17,5041,67.8,17,20,5,30.1
24,ortools-normal,214,284,75.4,78.0,20,5067,68.2,16,20,5,30.1
24,hybrid,212,284,74.6,77.3,18,5041,67.9,17,20,5,135.0
25,heuristik,186,284,65.5,74.4,22,6437,60.4,24,26,5,0.0
25,ortools-naiv,204,284,71.8,75.4,18,4472,64.5,20,26,5,36.1
25,ortools-normal,206,284,72.5,75.8,15,4524,65.4,20,26,5,36.1
25,hybrid,210,284,73.9,77.6,14,4503,66.4,21,26,5,156.2
26,heuristik,174,284,61.3,72.5,25,6217,57.6,19,20,5,0.0
26,ortools-naiv,193,284,68.0,71.8,22,4618,63.8,18,20,5,42.1
26,ortools-normal,216,284,76.1,80.4,16,5162,67.0,19,20,5,42.1
26,hybrid,214,284,75.4,78.2,14,5136,67.8,18,20,5,181.9
27,heuristik,176,284,62.0,71.9,24,6359,58.3,20,24,5,0.0
27,ortools-naiv,203,284,71.5,75.5,15,5080,66.3,20,24,5,33.1
27,ortools-normal,207,284,72.9,76.3,20,5150,68.0,20,24,5,30.1
27,hybrid,209,284,73.6,77.1,15,4995,68.2,21,24,5,120.3
28,heuristik,181,284,63.7,72.9,23,6003,60.0,24,28,5,0.0
28,ortools-naiv,210,284,73.9,77.6,16,4698,69.6,22,28,5,30.0
28,ortools-normal,219,284,77.1,80.9,18,5027,70.7,24,28,5,33.1
28,hybrid,203,284,71.5,73.9,19,4560,68.1,21,28,5,127.7
29,heuristik,168,284,59.2,69.3,22,5881,55.6,14,16,5,0.0
29,ortools-naiv,200,284,70.4,73.5,17,4837,64.9,12,16,5,33.1
29,ortools-normal,215,284,75.7,80.2,8,5359,67.4,14,16,5,33.1
29,hybrid,203,284,71.5,73.5,19,4671,65.4,13,16,5,140.7
