seed,scheduler,erledigt,generiert,completion_pct,prio_completion_pct,sla_vlz,fahrzeit_min,auslastung_pct,notfall_erledigt,notfall_gesamt,rollover_max,laufzeit_sec
0,heuristik,158,284,55.6,66.3,39,5554,61.2,24,28,5,0.1
0,ortools-naiv,192,284,67.6,70.7,21,4297,71.1,23,28,5,27.1
0,ortools-normal,198,284,69.7,73.2,23,4266,70.7,24,28,5,30.1
0,hybrid,192,284,67.6,70.2,23,4280,69.8,22,28,5,126.4
1,heuristik,168,284,59.2,67.7,33,5440,60.5,19,23,5,0.0
1,ortools-naiv,187,284,65.8,68.6,29,4287,65.8,18,23,5,36.1
1,ortools-normal,188,284,66.2,69.0,26,4274,66.5,15,23,5,36.1
1,hybrid,190,284,66.9,69.8,25,4342,66.2,19,23,5,154.0
2,heuristik,171,284,60.2,68.6,25,5668,61.9,23,27,5,0.0
2,ortools-naiv,181,284,63.7,68.0,22,4269,67.4,24,27,5,39.1
2,ortools-normal,179,284,63.0,65.3,28,4289,63.7,20,27,5,39.1
2,hybrid,187,284,65.8,69.5,21,4263,65.9,22,27,5,160.3
3,heuristik,157,284,55.3,65.9,27,5460,60.9,17,21,5,0.0
3,ortools-naiv,184,284,64.8,71.8,19,4162,69.6,17,21,5,36.1
3,ortools-normal,188,284,66.2,71.0,20,4210,69.6,17,21,5,33.1
3,hybrid,183,284,64.4,69.8,19,4222,69.6,16,21,5,163.3
4,heuristik,162,284,57.0,68.0,26,5876,61.2,21,23,5,0.0
4,ortools-naiv,184,284,64.8,73.1,10,4534,70.9,22,23,5,30.1
4,ortools-normal,193,284,68.0,74.3,15,4561,69.8,22,23,5,30.1
4,hybrid,189,284,66.5,73.5,13,4595,71.1,22,23,5,131.1
5,heuristik,173,284,60.9,70.4,24,5971,61.1,22,26,5,0.0
5,ortools-naiv,190,284,66.9,71.5,19,4290,66.5,21,26,5,33.1
5,ortools-normal,194,284,68.3,72.9,20,4305,66.9,19,26,5,30.1
5,hybrid,194,284,68.3,72.1,20,4309,66.4,18,26,5,121.9
6,heuristik,167,284,58.8,69.7,20,5782,60.1,19,19,5,0.0
6,ortools-naiv,197,284,69.4,75.6,11,4566,69.2,18,19,5,33.1
6,ortools-normal,199,284,70.1,75.8,14,4607,68.3,18,19,5,33.1
6,hybrid,195,284,68.7,74.3,14,4455,67.6,18,19,5,134.7
7,heuristik,165,284,58.1,69.9,39,5861,63.2,15,18,5,0.0
7,ortools-naiv,184,284,64.8,69.1,28,4399,65.8,12,18,5,33.1
7,ortools-normal,198,284,69.7,76.2,20,4778,69.0,14,18,5,33.1
7,hybrid,197,284,69.4,74.5,18,4804,69.3,15,18,5,144.1
8,heuristik,157,284,55.3,67.2,29,5691,61.2,23,31,5,0.1
8,ortools-naiv,195,284,68.7,73.0,19,4303,69.1,26,31,5,36.1
8,ortools-normal,192,284,67.6,72.8,19,4169,68.9,28,31,5,36.1
8,hybrid,187,284,65.8,70.5,21,4341,66.7,26,31,5,165.4
9,heuristik,167,284,58.8,68.6,27,5824,62.3,12,14,5,0.0
9,ortools-naiv,179,284,63.0,67.4,17,4655,65.8,10,14,5,36.1
9,ortools-normal,184,284,64.8,69.6,17,4388,67.0,11,14,5,36.1
9,hybrid,183,284,64.4,68.4,19,4346,68.4,12,14,5,166.4
